"('red', None, 'left', 'right')",0,0,0,3.174030214497511
"('green', None, 'right', 'right')",0,0,2.4641577165967297,0
"('green', 'left', None, 'forward')",0,0,0,5.89874718338444
"('red', None, 'forward', 'left')",0,0,2.063137063724191,0
"('red', 'left', None, 'forward')",1.4916050497367501,0,0,0
"('green', 'left', None, 'left')",0.3972881355932204,0,0,0
"('red', 'left', None, 'right')",0,1.442848653915172,0,0
"('green', 'right', None, 'right')",0,0,1.2785073912773688,0
"('green', None, 'left', 'forward')",0,4.587951124629489,0,0
"('green', None, 'forward', 'left')",0,2.076698888258848,0,0
"('green', None, None, None)",0,0,0,0
"('red', 'forward', None, 'left')",0,2.8773168927762987,0,0
"('red', 'right', None, 'left')",0,0,0,0
"('green', None, 'forward', 'right')",0,1.2535513522154063,0,0
"('red', None, 'left', 'forward')",0,0,0,0
"('red', None, None, 'forward')",7.672446177085611,-0.13817174515235456,0,0.9833479012572262
"('green', 'forward', None, 'forward')",0,0,0,0
"('red', None, None, None)",0,0,0,0
"('green', None, 'left', 'left')",0,4.785785325889569,0,0
"('red', 'forward', None, 'forward')",0,2.2088949919759098,0,0
"('green', 'forward', None, 'right')",0,0,1.2217459585728265,0
"('red', 'right', None, 'right')",0,1.02548109661992,0,0
"('red', None, None, 'right')",0.4646039365444672,0,-0.012893675502220037,9.326912195251793
"('green', None, None, 'right')",7.190551790443701,0.46780195147428705,0.13157894736842107,0.5136842105263159
"('red', None, 'right', 'left')",0,2.0271270056590325,0,0
"('red', 'left', None, 'left')",0,-0.2,0,3.6531103803112535
"('red', None, 'forward', None)",0,0,0,0
"('green', None, None, 'left')",0,0,9.19566566960561,0.5536891801322398
"('green', None, 'left', 'right')",0,3.7872505421897795,0,0
"('green', 'forward', None, 'left')",0.3944827586206897,0,0,0
"('green', None, 'forward', 'forward')",0,0,3.1870017733384843,0
"('red', 'forward', None, 'right')",0,0.029475685613886693,0,0
"('green', None, None, 'forward')",0,0,0,6.992424008621757
"('red', None, 'left', 'left')",0,0.5835776131557534,0,0
"('green', 'right', None, 'left')",0,0,2.8488656937515238,0
"('red', None, 'forward', 'forward')",0.5813333333333335,0,0,0
"('red', None, 'forward', 'right')",0,0,0,1.471052308475209
"('red', None, 'right', 'right')",0,0,1.1446523238457051,0
"('red', None, None, 'left')",7.852687438755388,0,0,0
