"('green', 'forward', None, 'right')",0.0,0.4881546026240326,0.0,0.0
"('red', None, None, 'right')",0.7579369162159271,-0.3265873959571938,-0.2,5.286621949525625
"('green', None, None, None)",0.0,0.0,0.0,0.0
"('green', None, None, 'right')",0.0,0.0,2.09812309846298,0.0
"('green', None, None, 'forward')",3.7756687770127657,6.325015603107223,0.0,0.0
"('green', 'left', None, 'forward')",0.0,0.0,0.7067322666770588,0.0
"('red', None, 'left', 'forward')",0.0,0.9964176511267914,0.0,0.0
"('red', 'forward', None, None)",0.0,0.0,0.0,0.0
"('green', None, None, 'left')",0.0,0.0,5.266679474464222,0.0
"('red', None, None, 'forward')",0.0,4.3658530042647925,0.43265819064501143,1.9369138322598474
"('red', 'right', None, 'forward')",0.0,0.013986855806570686,0.0,0.0
"('green', None, 'forward', 'left')",0.0,0.4970938994219678,0.0,0.0
"('red', None, None, None)",0.0,0.0,0.0,0.0
"('red', None, None, 'left')",0.37436448666647143,-0.2,0.0,2.4223263627385663
"('green', None, 'left', 'left')",0.0,0.8365019660806919,0.0,0.0
